"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"
"1:09:00::"	"the"	"of"	"use"	"difference"	"use_the"	"the_of"	"of_difference"	"we_use_the"	"use_the_of"	"the_of_difference"	"of_difference_."	"PRP"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"first"	"argument"	"be"	"thus"	"an"	"experiment"	"in"	"which"	"we"	"use"	"the"	"method"	"of"	"difference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"third"	"was"	"the"	","	"the_third"	"third_was"	"was_,"	"∅_the_third"	"the_third_was"	"third_was_,"	"was_,_to"	"ε"	"DT"	"JJ"	"NN"	"VBD"	"ε"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"third"	"method"	"was"	"to"	"our"	"knowledge"	"successfully"	"apply"	"for_the_first_time"	"by"	"person"	"and"	"co-worker"	"reference"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"which"	"by"	"can"	"by_a"	"a_which"	"which_can"	"it_by_a"	"by_a_which"	"a_which_can"	"which_can_be"	"PRP"	"IN"	"DT"	"NN"	"WDT"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"the"	"f"	"calculation"	"be"	"obvious"	"by_analogy_with"	"that"	"for"	"gravitational_field"	"and"	"it"	"be"	"interesting"	"to"	"confirm"	"it"	"by"	"a"	"method"	"which"	"can"	"be"	"generalize"	"to"	"include"	"related"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"indirect"	"were"	"and"	"treat"	"and_indirect"	"indirect_were"	"were_treat"	"direct_and_indirect"	"and_indirect_were"	"indirect_were_treat"	"were_treat_in"	"JJ"	"CC"	"JJ"	"NN"	"VBD"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"attempt"	"to"	"improve"	"specificity"	"of"	"staining"	"the"	"labeled"	"antiserum"	"use"	"in"	"both"	"direct"	"and"	"indirect"	"method"	"were"	"treat"	"in"	"one"	"of"	"several"	"way"	"they"	"were"	"pass_through"	"dowex-2-chloride"	"twice"	"and"	"treat"	"with"	"acetone"	"insoluble"	"powder"	"person"	"prepare"	"from"	"mouse"	"liver"	"or"	"from"	"healthy"	"sweet_clover"	"stem"	"or"	"crown_gall"	"tissue"	"produce"	"by"	"agrobacterium_tumefaciens"	"person"	"person"	"location"	"on"	"sweet_clover"	"stem"	"0"	"0"	"0"	"0"	
"1:09:00::"	"indirect"	","	"the"	"the"	"the_indirect"	"indirect_,"	",_the"	"in_the_indirect"	"the_indirect_,"	"indirect_,_the"	",_the_section"	"IN"	"DT"	"JJ"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"dry"	"the"	"section"	"under"	"the"	"fan"	"fix"	"in"	"acetone"	"dry"	"at"	"as"	"in"	"the"	"indirect"	"method"	"the"	"section"	"were"	"treat"	"with"	"conjugated"	"f"	"or"	"f"	"undiluted"	"unless"	"mention"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"indirect"	"be"	"the"	"similar"	"the_indirect"	"indirect_be"	"be_similar"	"and_the_indirect"	"the_indirect_be"	"indirect_be_similar"	"be_similar_and"	"CC"	"DT"	"JJ"	"NN"	"VB"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"result"	"of"	"specific"	"staining"	"the"	"direct"	"and"	"the"	"indirect"	"method"	"be"	"similar"	"and"	"show"	"the"	"localization"	"of"	"wtv"	"antigen"	"in"	"certain"	"tissue"	"of"	"tumor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"indirect"	"of"	"and"	"staining"	"and_indirect"	"indirect_of"	"of_staining"	"direct_and_indirect"	"and_indirect_of"	"indirect_of_staining"	"of_staining_,"	"JJ"	"CC"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"both"	"direct"	"and"	"indirect"	"method"	"of"	"staining"	"the"	"conjugate"	"have"	"nonspecifically"	"staining"	"fraction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"indirect"	"show"	"and"	"that"	"and_indirect"	"indirect_show"	"show_that"	"direct_and_indirect"	"and_indirect_show"	"indirect_show_that"	"show_that_wtv"	"JJ"	"CC"	"JJ"	"NN"	"VB"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"specific"	"staining"	"both"	"direct"	"and"	"indirect"	"method"	"show"	"that"	"wtv"	"antigen"	"was"	"concentrated"	"in"	"the"	"pseudophloem"	"tissue"	"and"	"in"	"a_few"	"thick"	"walled"	"cell"	"in"	"the"	"xylem"	"region"	"but"	"be"	"not"	"detectable"	"in"	"any"	"tissue"	"of"	"the"	"root"	"and"	"stem"	"tumor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"person"	"at"	"only"	"his"	"only_person"	"person_at"	"at_his"	"teach_only_person"	"only_person_at"	"person_at_his"	"at_his_famous"	"VB"	"RB"	"NNP"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"because"	"the"	"good"	"teach"	"only"	"person"	"method"	"at"	"his"	"famous"	"group"	"which"	"be"	"located"	"at"	"location"	"in"	"montreal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"in"	"as_well_as"	"∅"	"in"	"∅_in"	"in_as_well_as"	"as_well_as_in"	"∅_∅_in"	"∅_in_as_well_as"	"in_as_well_as_in"	"as_well_as_in_theme"	"ε"	"ε"	"IN"	"NN"	"RB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"method"	"as_well_as"	"in"	"theme"	"this"	"little"	"anecdote"	"with"	"its"	"detail"	"select"	"as"	"much"	"for"	"expressiveness"	"and"	"allegory"	"as"	"for"	"realism"	"anticipate"	"a"	"kind"	"of"	"musical_composition"	"as_well"	"as"	"a"	"kind"	"of"	"fictional"	"composition"	"in"	"which"	"as"	"person"	"say"	"there"	"shall"	"be"	"nothing"	"unthematic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"of"	"for"	"examination"	"supply"	"examination_of"	"of_for"	"for_supply"	"necessitate_examination_of"	"examination_of_for"	"of_for_supply"	"for_supply_additional"	"VB"	"NN"	"IN"	"NN"	"IN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"anaerobic"	"condition"	"in"	"the"	"oxidation"	"pond"	"necessitate"	"examination"	"of"	"method"	"for"	"supply"	"additional"	"oxygen"	"than"	"by"	"sodium_nitrate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"bioassay"	"use"	"the"	"to"	"the_bioassay"	"bioassay_use"	"use_to"	"critically_the_bioassay"	"the_bioassay_use"	"bioassay_use_to"	"use_to_obtain"	"RB"	"DT"	"NN"	"NN"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"evaluate"	"data"	"on"	"the"	"concentration"	"of"	"tsh"	"blood"	"one"	"must"	"examine"	"critically"	"the"	"bioassay"	"method"	"use"	"to"	"obtain"	"them"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"automatic"	"in"	"modern"	"1929"	"modern_automatic"	"automatic_in"	"in_1929"	"simplex_modern_automatic"	"modern_automatic_in"	"automatic_in_1929"	"in_1929_,"	"JJ"	"JJ"	"JJ"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"old"	"morse"	"system"	"was"	"locally"	"by"	"the"	"simplex"	"modern"	"automatic"	"method"	"in"	"when"	"person"	"person"	"be"	"manager"	"of"	"the"	"group"	"office"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"agglutination"	"."	"tube"	"∅"	"tube_agglutination"	"agglutination_."	"._∅"	"following_tube_agglutination"	"tube_agglutination_."	"agglutination_._∅"	"._∅_∅"	"JJ"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"anti"	"a"	"and"	"anti"	"b"	"activity"	"were"	"determine"	"in"	"fraction"	"from"	"the"	"serum"	"of"	"a"	"group"	"b"	"or"	"group"	"o"	"donor"	"by"	"the"	"following"	"tube"	"agglutination"	"method"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"other"	"will"	"∅"	"be"	"∅_other"	"other_will"	"will_be"	"∅_∅_other"	"∅_other_will"	"other_will_be"	"will_be_describe"	"ε"	"ε"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"method"	"will"	"be"	"describe"	"below"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"by"	"6"	"laboratory"	"of"	"laboratory_by"	"by_6"	"6_of"	"our_laboratory_by"	"laboratory_by_6"	"by_6_of"	"6_of_person"	"PRP$"	"NN"	"IN"	"NN"	"JJ"	"IN"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"several"	"sample"	"of"	"citrate"	"plasma"	"fractionate"	"in"	"our"	"laboratory"	"by"	"method"	"of"	"person"	"et_al."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
