"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"
"4:02:04::"	"person"	"to"	"send"	"the"	"send_person"	"person_to"	"to_the"	"she_send_person"	"send_person_to"	"person_to_the"	"to_the_house"	"PRP"	"VB"	"NNP"	"RB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"person"	"back"	"to"	"the"	"house"	"her"	"basket"	"and"	"her"	"apron"	"laden"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"start"	"for"	"she"	"the"	"she_start"	"start_for"	"for_the"	"∅_she_start"	"she_start_for"	"start_for_the"	"for_the_house"	"ε"	"PRP"	"VB"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"start"	"back"	"for"	"the"	"house"	"see"	"a"	"light"	"in"	"the"	"office"	"open"	"the"	"door"	"and"	"surprise"	"a"	"domestic"	"little"	"scene"	"which"	"be"	"far"	"outside"	"the"	"dark"	"realm"	"of"	"murder"	"or"	"attempted"	"murder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"ship"	"."	"the"	"∅"	"the_ship"	"ship_."	"._∅"	"turn_the_ship"	"the_ship_."	"ship_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"in"	"the"	"same"	"little"	"discovery"	"that"	"person"	"now"	"command"	"had"	"sail"	"mile"	"the"	"strait"	"before"	"his"	"frightened"	"men"	"turn"	"the"	"ship"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"of"	"from"	"the"	"from_the"	"the_of"	"of_the"	"∅_from_the"	"from_the_of"	"the_of_the"	"of_the_barn"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"back"	"of"	"the"	"barn"	"it"	"be"	"a"	"simple"	"matter"	"to"	"reach"	"person"	"house"	"without"	"use"	"the"	"street"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"soon"	"at_work"	"be"	","	"be_soon"	"soon_at_work"	"at_work_,"	"person_be_soon"	"be_soon_at_work"	"soon_at_work_,"	"at_work_,_give"	"NNP"	"VB"	"RB"	"RB"	"JJ"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"soon"	"back"	"at_work"	"give"	"his"	"secret"	"employer"	"their"	"money"	"worth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"∅"	"at"	"∅"	"the"	"∅_∅"	"∅_at"	"at_the"	"∅_∅_∅"	"∅_∅_at"	"∅_at_the"	"at_the_group"	"ε"	"ε"	"ε"	"RB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"the"	"group"	"with"	"the"	"old_maid"	"back"	"there"	"she"	"be"	"the"	"young"	"clerk"	"and"	"she"	"be"	"thirty-four"	"which"	"make"	"her"	"young"	"enough"	"to"	"resent"	"the"	"usual"	"ideal"	"working"	"condition"	"like"	"the"	"unventilated"	"toilet"	"with"	"the"	"door"	"you"	"have"	"to"	"hold"	"shut"	"while"	"you"	"sit_down"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	","	"there"	"old_maid"	"she"	"old_maid_,"	",_there"	"there_she"	"the_old_maid_,"	"old_maid_,_there"	",_there_she"	"there_she_be"	"DT"	"NN"	"ε"	"RB"	"RB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"back"	"at"	"the"	"with"	"the"	"old_maid"	"back"	"there"	"she"	"be"	"the"	"young"	"clerk"	"and"	"she"	"be"	"thirty-four"	"which"	"make"	"her"	"young"	"enough"	"to"	"resent"	"the"	"usual"	"ideal"	"working"	"condition"	"like"	"the"	"unventilated"	"toilet"	"with"	"the"	"door"	"you"	"have"	"to"	"hold"	"shut"	"while"	"you"	"sit_down"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"stream"	"in"	"be"	"cool"	"be_stream"	"stream_in"	"in_cool"	"still_be_stream"	"be_stream_in"	"stream_in_cool"	"in_cool_,"	"RB"	"VB"	"VB"	"RB"	"IN"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"over"	"the"	"rapidly"	"diminishing"	"outline"	"of"	"a"	"jump_seat"	"pile"	"high"	"with"	"luggage"	"person"	"black"	"brush_cut"	"be"	"just"	"discernible"	"near"	"or"	"enviably"	"near"	"that"	"spot"	"where"	"hidden"	"more"	"delicately"	"textured"	"most"	"beautifully"	"tinted"	"hair"	"must"	"be"	"stream"	"back"	"in"	"cool"	"oh"	"cool"	"wind"	"sweetly"	"perfumed"	"with"	"sagebrush"	"and"	"yucca"	"flower"	"and"	"engine"	"fumes"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"in"	","	"``"	"buddy"	"``_in"	"in_,"	",_buddy"	"∅_``_in"	"``_in_,"	"in_,_buddy"	",_buddy_''"	"ε"	"ε"	"IN"	"NN"	"ε"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"back"	"buddy"	"the"	"driver"	"say"	"to"	"me"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"spring"	"up"	","	"and"	",_spring"	"spring_up"	"up_and"	"down_,_spring"	",_spring_up"	"spring_up_and"	"up_and_gouge"	"RB"	"ε"	"VB"	"RB"	"RB"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"quickly"	"but"	"carefully"	"lower"	"my"	"duffel_bag"	"over"	"the"	"low"	"side"	"i"	"step_on"	"the"	"running_board"	"it"	"flop"	"down"	"spring"	"back"	"up"	"and"	"gouge"	"my"	"shin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"roar"	"between"	"i"	"dusty"	"i_roar"	"roar_between"	"between_dusty"	",_i_roar"	"i_roar_between"	"roar_between_dusty"	"between_dusty_lip"	"ε"	"PRP"	"VB"	"RB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hell"	"yes"	"i"	"back"	"between"	"dusty"	"lip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"be"	"on"	"we"	"the"	"we_be"	"be_on"	"on_the"	"∅_we_be"	"we_be_on"	"be_on_the"	"on_the_road"	"ε"	"PRP"	"VB"	"RB"	"NN"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"back"	"on"	"the"	"road"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:06::"	"flash"	"at"	"again"	"me"	"again_flash"	"flash_at"	"at_me"	"tooth_again_flash"	"again_flash_at"	"flash_at_me"	"at_me_,"	"NN"	"RB"	"VB"	"RB"	"IN"	"PRP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"tooth"	"flash"	"back"	"at"	"me"	"the"	"driver"	"release"	"a"	"deluge"	"of"	"spanish"	"in"	"which"	"amigo"	"appear"	"every_so_often"	"like"	"an"	"island"	"in"	"the"	"stormy"	"wave"	"of"	"surrounding"	"sound"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"millennium"	"."	"twelve"	"∅"	"twelve_millennium"	"millennium_."	"._∅"	",_twelve_millennium"	"twelve_millennium_."	"millennium_._∅"	"._∅_∅"	"ε"	"JJ"	"NN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"the"	"universal"	"list"	"as"	"his"	"weapon"	"person"	"has"	"extend"	"his"	"march"	"of"	"farther"	"and"	"farther"	"into"	"the"	"past"	"eight"	"ten"	"twelve"	"millennium"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"low"	"strength"	"and"	"will"	"and_low"	"low_strength"	"strength_will"	"upper_and_low"	"and_low_strength"	"low_strength_will"	"strength_will_be"	"JJ"	"CC"	"JJ"	"NN"	"NN"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"arm"	"shoulder"	"chest"	"upper"	"low"	"back"	"strength"	"will"	"be"	"aid"	"with"	"the"	"horse_kick"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"increase"	"flexibility"	"further"	","	"further_increase"	"increase_flexibility"	"flexibility_,"	"to_further_increase"	"further_increase_flexibility"	"increase_flexibility_,"	"flexibility_,_work_on"	"TO"	"RB"	"VB"	"NN"	"NN"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"back"	"flexibility"	"work_on"	"the"	"back_circle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"fit"	"into"	"here"	"his"	"here_fit"	"fit_into"	"into_his"	"everything_here_fit"	"here_fit_into"	"fit_into_his"	"into_his_life"	"NN"	"RB"	"VB"	"RB"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"strange"	"how"	"here"	"fit"	"back"	"into"	"his"	"life"	"even"	"if"	"he"	"had"	"be"	"away"	"so"	"long"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"quickly"	"around"	"creep"	"to"	"creep_quickly"	"quickly_around"	"around_to"	"that_creep_quickly"	"creep_quickly_around"	"quickly_around_to"	"around_to_the"	"WDT"	"VB"	"RB"	"RB"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"were"	"push"	"gently"	"into"	"the"	"room"	"by"	"person"	"only"	"part"	"appear"	"be"	"hand"	"that"	"creep"	"quickly"	"back"	"around"	"to"	"the"	"kitchen"	"side"	"of"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"fly"	"to"	"will"	"russia"	"will_fly"	"fly_to"	"to_russia"	"group_will_fly"	"will_fly_to"	"fly_to_russia"	"to_russia_,"	"NNP"	"MD"	"VB"	"RB"	"TO"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"the"	"will"	"fly"	"back"	"to"	"russia"	"minus"	"a"	"chicago"	"engagement"	"a"	"serious"	"loss"	"for"	"dance"	"fan"	"and"	"for"	"the"	"frustrated"	"booker"	"cancellation"	"of"	"one"	"of"	"the"	"rich"	"booking"	"in"	"the"	"country"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"group"	"in_front"	"the"	"."	"the_group"	"group_in_front"	"in_front_."	"put_the_group"	"the_group_in_front"	"group_in_front_."	"in_front_._∅"	"VB"	"DT"	"NNP"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"blast"	"over"	"left"	"in"	"the"	"fourth"	"his"	"fourth"	"homer"	"of"	"the"	"campaign"	"tie"	"the"	"score"	"person"	"first"	"major_league"	"home_run"	"in"	"the"	"fifth"	"put"	"the"	"group"	"back"	"in_front"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:05::"	"group"	"in_front"	"the"	"in"	"the_group"	"group_in_front"	"in_front_in"	"put_the_group"	"the_group_in_front"	"group_in_front_in"	"in_front_in_the"	"VB"	"DT"	"NNP"	"RB"	"RB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"double"	"by"	"person"	"person"	"run"	"score"	"two-baser"	"an"	"infield"	"single"	"by"	"and"	"person"	"solid"	"single"	"to"	"center"	"put"	"the"	"group"	"back"	"in_front"	"in"	"the"	"last"	"of"	"the"	"fifth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"shrapnel_in_the"	"in_the_of"	"the_of_the"	"of_the_head"	"NN"	"RB"	"RB"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"injured"	"german"	"veteran"	"be"	"a"	"former"	"miner"	"twenty-four"	"year"	"who"	"had"	"been"	"wound"	"by"	"shrapnel"	"in"	"the"	"back"	"of"	"the"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"walk"	"toward"	"was"	"the"	"was_walk"	"walk_toward"	"toward_the"	"person_was_walk"	"was_walk_toward"	"walk_toward_the"	"toward_the_residential"	"NNP"	"VBD"	"VB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"was"	"walk"	"back"	"toward"	"the"	"residential"	"hall"	"person"	"come_out"	"of"	"the"	"basement"	"and"	"bound"	"up_to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"in_opposition"	"and"	"to"	"and_his"	"his_in_opposition"	"in_opposition_to"	"location_and_his"	"and_his_in_opposition"	"his_in_opposition_to"	"in_opposition_to_the"	"NNP"	"CC"	"PRP$"	"NN"	"RB"	"TO"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"a"	"contemptuous"	"purpose"	"in"	"the"	"way"	"sit"	"there"	"with"	"his"	"eye"	"glue"	"to"	"location"	"and"	"his"	"back"	"in_opposition"	"to"	"the"	"church"	"behind"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"federal"	"monday"	"aid"	"monday_to"	"to_federal"	"federal_aid"	"group_monday_to"	"monday_to_federal"	"to_federal_aid"	"federal_aid_to"	"NNP"	"NN"	"TO"	"VB"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"veteran"	"location"	"legislator"	"ask"	"the"	"group"	"monday"	"to"	"back"	"federal"	"aid"	"to"	"education"	"something"	"it"	"has"	"consistently"	"oppose"	"in"	"the"	"past"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:04::"	"him"	"."	"call"	"∅"	"call_him"	"him_."	"._∅"	"person_call_him"	"call_him_."	"him_._∅"	"._∅_∅"	"NNP"	"VB"	"PRP"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"him"	"back"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"booth"	"in"	"without"	"in_a"	"a_booth"	"booth_without"	"drink_in_a"	"in_a_booth"	"a_booth_without"	"booth_without_anyone"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"be"	"one"	"place"	"where"	"person"	"go"	"for"	"a"	"drink"	"in"	"a"	"back"	"booth"	"without"	"anyone"	"notice"	"him"	"or"	"at_least"	"come_up"	"and"	"hang_around"	"and"	"want"	"to"	"know"	"all"	"the"	"low-down"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
