"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"
"4:02:00::"	"not"	","	"∅"	"though"	"∅_not"	"not_,"	",_though"	"∅_∅_not"	"∅_not_,"	"not_,_though"	",_though_,"	"ε"	"ε"	"RB"	"RB"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"always"	"though"	"does"	"the"	"development"	"of"	"a"	"bumblebee"	"colony"	"take_place"	"in"	"the"	"smooth"	"fashion"	"we"	"have"	"just"	"describe"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"and"	"as"	","	"he"	",_and"	"and_as"	"as_he"	"sky_,_and"	",_and_as"	"and_as_he"	"as_he_wander"	"NN"	"ε"	"CC"	"RB"	"IN"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"location"	"he"	"had"	"puzzle"	"the"	"meaning"	"of"	"the"	"great"	"monument"	"man"	"had"	"throw"	"up"	"to"	"the"	"sky"	"and"	"always"	"as"	"he"	"wander"	"he"	"feel"	"a"	"stranger"	"to"	"their"	"exultation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"people"	"ask"	"have"	"you"	"have_people"	"people_ask"	"ask_you"	"to_have_people"	"have_people_ask"	"people_ask_you"	"ask_you_about"	"TO"	"VB"	"NN"	"RB"	"VB"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"does"	"n't"	"it"	"ever"	"bother"	"you"	"person"	"had"	"to"	"have"	"people"	"always"	"ask"	"you"	"about"	"your"	"hand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"be"	"the"	"factory"	"center"	"factory_be"	"be_the"	"the_center"	"the_factory_be"	"factory_be_the"	"be_the_center"	"the_center_of"	"DT"	"NN"	"VB"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"factory"	"be"	"always"	"the"	"center"	"of"	"the"	"labor_market"	"they"	"be"	"often"	"on"	"the"	"city"	"periphery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"spread"	"of_course"	"with"	"of_course_,"	",_spread"	"spread_with"	",_of_course_,"	"of_course_,_spread"	",_spread_with"	"spread_with_the"	"ε"	"RB"	"ε"	"RB"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"retailing"	"always"	"spread"	"with"	"the"	"population"	"grocery_store"	"drugstore"	"local"	"haberdashery"	"and"	"dress_shop"	"candy_store"	"and"	"the_like"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"have"	"be"	"there"	"the"	"there_have"	"have_be"	"be_the"	",_there_have"	"there_have_be"	"have_be_the"	"be_the_outer"	"ε"	"EX"	"VBP"	"RB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_addition"	"to"	"the"	"function"	"of"	"within"	"man"	"there"	"have"	"always"	"be"	"the"	"outer"	"social"	"function"	"for"	"the"	"community"	"and"	"society"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"is"	"correlated"	"society"	"with"	"society_is"	"is_correlated"	"correlated_with"	"or_society_is"	"society_is_correlated"	"is_correlated_with"	"correlated_with_,"	"CC"	"NN"	"VBZ"	"RB"	"JJ"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"value-system"	"of"	"community"	"or"	"society"	"is"	"always"	"correlated"	"with"	"and"	"to"	"a"	"degree"	"dependent"	"upon"	"a"	"more_or_less"	"shared"	"system"	"of"	"religious_belief"	"and"	"conviction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"was"	"the"	"it"	"spirit"	"it_was"	"was_the"	"the_spirit"	"``_it_was"	"it_was_the"	"was_the_spirit"	"the_spirit_with"	"ε"	"PRP"	"VBD"	"RB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"always"	"the"	"spirit"	"with"	"christ"	"matter"	"such_as"	"leavened"	"or"	"unleavened_bread"	"be"	"inconsequential"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	","	"smile"	"happy"	"lad"	"happy_,"	",_smile"	"smile_lad"	"this_happy_,"	"happy_,_smile"	",_smile_lad"	"smile_lad_with"	"DT"	"JJ"	"ε"	"RB"	"VB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"always"	"smile"	"lad"	"with"	"the"	"sunny"	"disposition"	"be"	"our"	"new"	"person"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"has"	"have"	"person"	"shapely"	"person_has"	"has_have"	"have_shapely"	"∅_person_has"	"person_has_have"	"has_have_shapely"	"have_shapely_leg"	"ε"	"NNP"	"VBZ"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"has"	"always"	"have"	"shapely"	"leg"	"from"	"swim"	"and"	"water_ski"	"and"	"really"	"does"	"n't"	"have"	"to"	"work"	"them"	"very_much"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"he"	"has"	","	"to"	",_he"	"he_has"	"has_to"	"person_,_he"	",_he_has"	"he_has_to"	"has_to_be"	"NNP"	"ε"	"PRP"	"RB"	"VB"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"poor"	"person"	"always"	"has"	"to"	"be"	"trot_out"	"for"	"my"	"encouragement"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"we"	"like"	"``"	"to"	"``_we"	"we_like"	"like_to"	"∅_``_we"	"``_we_like"	"we_like_to"	"like_to_keep"	"ε"	"ε"	"PRP"	"RB"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"always"	"like"	"to"	"keep"	"the"	"ball"	"as"	"much"	"as"	"we"	"can"	"against"	"denver"	"because"	"they"	"have"	"such"	"an"	"explosive"	"attack"	"explain"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"may_not"	"be"	"politician"	"as"	"politician_may_not"	"may_not_be"	"be_as"	"of_politician_may_not"	"politician_may_not_be"	"may_not_be_as"	"be_as_innocent"	"IN"	"NN"	"VB"	"RB"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"obscurity"	"politician"	"may_not"	"always"	"be"	"as"	"innocent"	"as"	"it"	"look"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"starting_buffer"	"show"	"against"	"intense"	"against_starting_buffer"	"starting_buffer_show"	"show_intense"	"dialysis_against_starting_buffer"	"against_starting_buffer_show"	"starting_buffer_show_intense"	"show_intense_agglutinin"	"NN"	"IN"	"NN"	"RB"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"insoluble"	"material"	"which"	"during"	"dialysis"	"against"	"starting_buffer"	"always"	"show"	"intense"	"agglutinin"	"activity"	"regardless"	"of"	"the"	"blood_group"	"of"	"the"	"donor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
