"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"
"1:11:00::"	"all"	"."	"to"	"∅"	"to_all"	"all_."	"._∅"	"apply_to_all"	"to_all_."	"all_._∅"	"._∅_∅"	"VB"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wage"	"price"	"policy"	"of"	"industry"	"be"	"the"	"result"	"of"	"a"	"complex"	"force"	"no"	"single"	"explanation"	"has"	"been"	"find"	"which"	"apply"	"to"	"all"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"that"	","	"of"	"a"	"of_that"	"that_,"	",_a"	"under_the_circumstances_of_that"	"of_that_,"	"that_,_a"	",_a_wife"	"RB"	"RB"	"RB"	"NN"	"ε"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by"	"make"	"inroad"	"in"	"the"	"name"	"of"	"law_enforcement"	"into"	"the"	"protection"	"which"	"congress"	"has"	"afford"	"to"	"the"	"marriage"	"relationship"	"the"	"court"	"today"	"in"	"the"	"path"	"chart"	"by"	"the"	"recent"	"decision"	"in"	"wyatt_v._united_states"	"where"	"the"	"court"	"hold"	"that"	"under_the_circumstances"	"of"	"that"	"case"	"a"	"wife"	"could"	"be"	"compel"	"to"	"testify"	"against"	"her"	"husband"	"over"	"her"	"objection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::;1:06:00::"	"three"	"of"	"by"	"beer"	"by_three"	"three_of"	"of_beer"	"narrow_by_three"	"by_three_of"	"three_of_beer"	"of_beer_."	"JJ"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"unwire"	"the"	"right-hand"	"door"	"whose"	"window"	"be"	"like"	"the"	"left"	"one"	"merely"	"loosely"	"taped"	"fragment"	"of"	"and"	"person"	"wad"	"himself"	"into"	"a"	"narrow"	"seat"	"make"	"still"	"more"	"narrow"	"by"	"three"	"case"	"of"	"beer"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:02::"	"the"	"record"	"from"	"."	"from_the"	"the_record"	"record_."	"apart_from_the"	"from_the_record"	"the_record_."	"record_._∅"	"RB"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rating"	"scale"	"of"	"compulsivity"	"was"	"construct"	"by"	"first"	"peruse"	"the"	"interview"	"record"	"categorize"	"all"	"related"	"to"	"compulsivity"	"then"	"arrange"	"a"	"distribution"	"of"	"such"	"information"	"apart"	"from"	"the"	"case"	"record"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"special"	"in"	"the"	"which"	"the_special"	"special_in"	"in_which"	"at_the_special"	"the_special_in"	"special_in_which"	"in_which_the"	"VB"	"DT"	"JJ"	"NN"	"RB"	"RB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"notation"	"of"	"the"	"proof"	"of"	"let"	"us"	"take_a_look"	"at"	"the"	"special"	"case"	"in"	"which"	"the"	"minimal"	"polynomial"	"for"	"t"	"be"	"a"	"product"	"of"	"first"	"degree"	"polynomial"	"i.e."	"the"	"case"	"in"	"which"	"each"	"f"	"be"	"of"	"the"	"form"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"the"	"in"	","	"which"	",_the"	"the_in"	"in_which"	"i.e._,_the"	",_the_in"	"the_in_which"	"in_which_each"	"RB"	"ε"	"DT"	"NN"	"RB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"notation"	"of"	"the"	"proof"	"of"	"theorem"	"let"	"us"	"take_a_look"	"at"	"the"	"special"	"case"	"in"	"which"	"minimal"	"polynomial"	"for"	"t"	"be"	"a"	"product"	"of"	"first"	"degree"	"polynomial"	"i.e."	"the"	"case"	"in"	"which"	"each"	"f"	"be"	"of"	"the"	"form"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:03::"	"group"	"will"	"of"	"decrease"	"of_group"	"group_will"	"will_decrease"	"volume_of_group"	"of_group_will"	"group_will_decrease"	"will_decrease_,"	"NN"	"IN"	"NNP"	"NN"	"MD"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"group"	"case"	"will"	"decrease"	"person"	"report"	"when"	"the"	"community"	"be"	"able"	"to"	"deal"	"effectively"	"with"	"two"	"problem"	"relatively"	"limited"	"skill"	"and"	"discrimination"	"in"	"employment"	"because"	"of"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::;1:11:00::"	"this"	"by"	"in"	"appropriately"	"in_this"	"this_by"	"by_appropriately"	"abet_in_this"	"in_this_by"	"this_by_appropriately"	"by_appropriately_stilted"	"VB"	"RB"	"RB"	"NN"	"IN"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"complexity"	"of"	"communication"	"been"	"considerably"	"abet"	"in"	"this"	"case"	"by"	"appropriately"	"stilted"	"english_language"	"that"	"has"	"been"	"excellently"	"dub"	"in_place_of"	"the"	"russian"	"dialogue"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"his"	","	"of"	"an"	"of_his"	"his_,"	",_an"	"smallest_of_his"	"of_his_,"	"his_,_an"	",_an_unimposing"	"JJ"	"IN"	"PRP$"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"doctor"	"open"	"smallest"	"of"	"his"	"case"	"an"	"unimposing"	"straw"	"bag"	"and"	"expose"	"the"	"content"	"for"	"person"	"inspection"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"straw"	","	"the"	"six"	"the_straw"	"straw_,"	",_six"	"in_the_straw"	"the_straw_,"	"straw_,_six"	",_six_egg"	"IN"	"DT"	"NN"	"NN"	"ε"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"enter"	"his"	"room"	"the"	"doctor"	"already"	"prepare"	"a"	"nest"	"in"	"the"	"straw"	"case"	"six"	"egg"	"ready"	"for"	"the"	"hen"	"attention"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"strong"	";"	"a"	"but"	"a_strong"	"strong_;"	";_but"	"have_a_strong"	"a_strong_;"	"strong_;_but"	";_but_he"	"VB"	"DT"	"JJ"	"NN"	"ε"	"CC"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"american"	"liberal"	"may"	"in"	"the"	"of"	"today"	"have"	"a"	"strong"	"case"	"but"	"he"	"present"	"it"	"publicly"	"so"	"enmesh"	"in"	"hypocrisy"	"that"	"it"	"be"	"not"	"an"	"honest"	"one"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"this"	"."	"through_with"	"∅"	"through_with_this"	"this_."	"._∅"	"were_through_with_this"	"through_with_this_."	"this_._∅"	"._∅_∅"	"VBD"	"JJ"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"may"	"think"	"we"	"did"	"n't"	"need"	"person"	"and"	"person"	"but"	"you"	"always"	"get"	"what"	"you"	"can"	"when"	"you"	"can"	"we"	"have"	"no"	"guarantee"	"that"	"a"	"fingerprint"	"record"	"on"	"them"	"could"	"n't"	"be"	"useful"	"before"	"we"	"were"	"through_with"	"this"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"this"	","	"in"	"however"	"in_this"	"this_,"	",_however"	"educator_in_this"	"in_this_,"	"this_,_however"	",_however_,"	"NN"	"RB"	"RB"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"participation"	"for"	"educator"	"in"	"this"	"case"	"however"	"would"	"have_to"	"be"	"raise"	"to"	"full"	"and"	"complete"	"membership"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"some"	"to"	"in"	"absorb"	"in_some"	"some_to"	"to_absorb"	"and_in_some"	"in_some_to"	"some_to_absorb"	"to_absorb_the"	"CC"	"IN"	"JJ"	"NN"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"our"	"work"	"the"	"best"	"procedure"	"for"	"remove"	"substance"	"cause"	"nonspecific"	"staining"	"in_order"	"to"	"specific"	"conjugate"	"was"	"to"	"pass_through"	"the"	"conjugate"	"through"	"a"	"deae_cellulose"	"column"	"and"	"in"	"some"	"case"	"to"	"absorb"	"the"	"first"	"and"	"second"	"milliliter"	"fraction"	"with"	"sweet_clover"	"tissue"	"powder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"isolated"	"of"	"an"	"quackery"	"an_isolated"	"isolated_of"	"of_quackery"	"∅_an_isolated"	"an_isolated_of"	"isolated_of_quackery"	"of_quackery_?"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"isolated"	"case"	"of"	"quackery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"of"	"be"	"person"	"be_the"	"the_of"	"of_person"	"there_be_the"	"be_the_of"	"the_of_person"	"of_person_,"	"EX"	"VB"	"DT"	"NN"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"be"	"the"	"case"	"of"	"person"	"a"	"machinist"	"who"	"was"	"refer"	"by"	"a"	"friend"	"to"	"a"	"health"	"machine"	"quack"	"who"	"treat"	"him"	"with"	"a"	"so-called"	"diagnostic"	"machine"	"for"	"what"	"person"	"say"	"be"	"a"	"system"	"full"	"of"	"arsenic"	"and"	"strychnine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"isolated"	"."	"these"	"∅"	"these_isolated"	"isolated_."	"._∅"	"be_these_isolated"	"these_isolated_."	"isolated_._∅"	"._∅_∅"	"VB"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"by_no_means"	"these"	"isolated"	"case"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"another"	"involve"	"∅"	"a"	"∅_another"	"another_involve"	"involve_a"	"∅_∅_another"	"∅_another_involve"	"another_involve_a"	"involve_a_newspaper"	"ε"	"ε"	"DT"	"NN"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"case"	"involve"	"a"	"newspaper"	"reporter"	"who"	"trip_up"	"a"	"politician"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"ambiguous"	"read"	"less"	"as_follows"	"less_ambiguous"	"ambiguous_read"	"read_as_follows"	"another_less_ambiguous"	"less_ambiguous_read"	"ambiguous_read_as_follows"	"read_as_follows_:"	"DT"	"RB"	"JJ"	"NN"	"VB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"ambiguous"	"case"	"read"	"as_follows"	"the"	"bearer"	"of_this"	"letter"	"has"	"serve"	"me"	"for"	"two"	"year"	"to"	"his"	"complete"	"satisfaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:11:00::"	"some"	"give"	"in"	"unobtainable"	"in_some"	"some_give"	"give_unobtainable"	"should_in_some"	"in_some_give"	"some_give_unobtainable"	"give_unobtainable_information"	"MD"	"IN"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"observation"	"of"	"the"	"radio_emission"	"of"	"a"	"planet"	"which"	"have"	"an"	"extensive"	"atmosphere"	"probe"	"the"	"atmosphere"	"to_a_greater_extent"	"than"	"those"	"use"	"short"	"wavelength"	"and"	"should"	"in"	"some"	"case"	"give"	"unobtainable"	"information"	"about"	"the"	"characteristic"	"of"	"the"	"solid"	"surface"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
