"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"
"2:36:00::"	"be"	"''"	"may"	"."	"may_be"	"be_''"	"''_."	"law_may_be"	"may_be_''"	"be_''_."	"''_._∅"	"NN"	"MD"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"urge"	"that"	"the"	"next"	"legislature"	"provide"	"enabling"	"fund"	"and"	"reset"	"effective"	"date"	"so_that"	"an"	"orderly"	"implementation"	"of"	"the"	"law"	"may"	"be"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"the"	"it"	"think_of"	"would"	"think_of_the"	"the_it"	"it_would"	"``_think_of_the"	"think_of_the_it"	"the_it_would"	"it_would_have"	"ε"	"VB"	"DT"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"you"	"see"	"the"	"drama"	"called"	"rhinoceros"	"say"	"think_of"	"the"	"effect"	"it"	"would"	"have"	"on"	"an"	"audience"	"of"	"rhino"	"when"	"the"	"actor"	"on"	"stage"	"suddenly"	"begin"	"turn_into"	"a"	"rhinoceros"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"related"	"."	"include"	"∅"	"include_related"	"related_."	"._∅"	"to_include_related"	"include_related_."	"related_._∅"	"._∅_∅"	"TO"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"the"	"f"	"calculation"	"be"	"obvious"	"by_analogy_with"	"that"	"for"	"gravitational_field"	"and"	"osmotic_pressure"	"it"	"be"	"interesting"	"confirm"	"it"	"by"	"a"	"method"	"which"	"can"	"be"	"generalize"	"to"	"include"	"related"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"optimum"	"."	"exhibit"	"∅"	"exhibit_optimum"	"optimum_."	"._∅"	"to_exhibit_optimum"	"exhibit_optimum_."	"optimum_._∅"	"._∅_∅"	"TO"	"VB"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"consider"	"bw"	"defense"	"it"	"must"	"be"	"recognize"	"that"	"a"	"number"	"of"	"meteorological"	"parameter"	"must"	"be"	"meet"	"for"	"an"	"aerosol"	"to"	"exhibit"	"optimum"	"effect"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"person"	"("	"the"	"person"	"the_person"	"person_("	"(_person"	"∅_the_person"	"the_person_("	"person_(_person"	"(_person_,"	"ε"	"DT"	"NNP"	"NN"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"effect"	"person"	"person"	"and"	"person"	"which"	"be"	"a"	"retardation"	"of"	"the"	"orbital"	"motion"	"of"	"particle"	"by"	"the"	"relativistic"	"aberration"	"of"	"the"	"repulsive_force"	"of"	"the"	"impinging"	"solar_radiation"	"cause"	"the"	"dust"	"to"	"spiral"	"into"	"the"	"sun"	"in"	"time"	"much"	"short"	"than"	"the"	"age"	"of"	"the"	"earth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"person"	"cause"	"the"	"the"	"the_person"	"person_cause"	"cause_the"	"∅_the_person"	"the_person_cause"	"person_cause_the"	"cause_the_semi"	"ε"	"DT"	"NNP"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"effect"	"cause"	"the"	"semi"	"major_axis"	"of"	"orbit"	"to"	"diminish"	"more"	"rapidly"	"than"	"the"	"semiminor_axis"	"with"	"a"	"consequent"	"tendency"	"toward"	"circular"	"orbit"	"as"	"the"	"particle"	"move"	"toward"	"the"	"sun"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"radiation"	","	"the"	"there"	"the_radiation"	"radiation_,"	",_there"	"of_the_radiation"	"the_radiation_,"	"radiation_,_there"	",_there_must"	"IN"	"DT"	"NN"	"NN"	"ε"	"EX"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"there"	"be"	"a"	"continual"	"loss"	"of"	"material"	"in"	"space"	"because"	"of"	"the"	"radiation"	"effect"	"there"	"must"	"be"	"a"	"continual"	"replenishment"	"micrometeorite"	"would"	"have"	"disappear"	"from"	"interplanetary_space"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"unify"	"of"	"the"	"religion"	"the_unify"	"unify_of"	"of_religion"	"∅_the_unify"	"the_unify_of"	"unify_of_religion"	"of_religion_is"	"ε"	"DT"	"VB"	"NN"	"IN"	"NN"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"unify"	"effect"	"of"	"religion"	"is"	"also"	"bring_out"	"in"	"the"	"fact"	"that"	"historically"	"people"	"have"	"cling"	"together"	"as"	"more_or_less"	"cohesive"	"cultural"	"unit"	"with"	"religion"	"as"	"the"	"dominant"	"bond"	"even"	"though"	"spatially"	"dispersed"	"and"	"not"	"politically"	"organized"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	"the"	"of"	","	"the"	",_the"	"the_of"	"of_the"	"enough_,_the"	",_the_of"	"the_of_the"	"of_the_digitalis_glycoside"	"JJ"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"interestingly"	"the"	"effect"	"of"	"the"	"digitalis_glycoside"	"is"	"inhibit"	"by"	"a"	"high"	"concentration"	"of"	"potassium"	"in"	"the"	"incubation"	"medium"	"and"	"is"	"enhance"	"by"	"the"	"absence"	"of"	"potassium"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:19:00::"	")"	"on"	"alerting"	"the"	"alerting_)"	")_on"	"on_the"	"(_alerting_)"	"alerting_)_on"	")_on_the"	"on_the_eeg"	"ε"	"NN"	"ε"	"NN"	"IN"	"DT"	"NN"	"further"	"been"	"show"	"that"	"an"	"experimental"	"neurosis"	"in"	"its"	"initial"	"stage"	"is"	"associate"	"with"	"a"	"reversible"	"shift"	"in"	"the"	"central"	"autonomic"	"balance"	"drug"	"alter"	"the"	"hypothalamic"	"balance"	"alter"	"conditioned_reaction"	"in"	"a"	"state"	"of"	"depression"	"the"	"conditioned_stimulus"	"may"	"fail"	"to"	"elicit"	"a"	"conditioned_reaction"	"cause"	"an"	"increased"	"synchrony"	"instead"	"of"	"the"	"excitatory"	"desynchronizing"	"alerting"	"effect"	"on"	"eeg"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
