"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"
"1:28:00::"	"the"	"of"	"at"	"2_-_1_2"	"at_the"	"the_of"	"of_2_-_1_2"	"∅_at_the"	"at_the_of"	"the_of_2_-_1_2"	"of_2_-_1_2_milligram"	"ε"	"IN"	"DT"	"NN"	"IN"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"rate"	"of"	"milligram"	"per"	"head"	"per"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"metabolic"	"of"	"the"	"the"	"the_metabolic"	"metabolic_of"	"of_the"	"elevate_the_metabolic"	"the_metabolic_of"	"metabolic_of_the"	"of_the_cow"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"drug"	"the"	"metabolic"	"rate"	"of"	"the"	"cow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"of"	"at"	"0.5"	"at_a"	"a_of"	"of_0.5"	"feed_at_a"	"at_a_of"	"a_of_0.5"	"of_0.5_to"	"VB"	"IN"	"DT"	"NN"	"IN"	"CD"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"prevention"	"of"	"foamy"	"feed"	"at"	"a"	"rate"	"of"	"to"	"milligram"	"per"	"head"	"per"	"day"	"in"	"mineral"	"or"	"salt"	"or"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"retention"	"("	"revised"	"*"	"revised_retention"	"retention_("	"(_*"	"the_revised_retention"	"revised_retention_("	"retention_(_*"	"(_*_*"	"DT"	"JJ"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"person"	"publish"	"basic"	"vocabulary"	"in"	"some"	"mon-khmer"	"language"	"al"	"no."	"pp."	"which"	"compare"	"mon-khmer"	"language"	"with"	"the"	"i-e"	"data"	"on"	"which"	"person"	"base"	"the"	"revised"	"retention"	"rate"	"f"	"in_place_of"	"original"	"f"	"and"	"his"	"revised"	"word"	"basic"	"glottochronological"	"list"	"in"	"towards_greater_accuracy"	"ijal_21_:_121_-_137"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"retention"	"as"	"empirical"	"."	"empirical_retention"	"retention_as"	"as_."	"an_empirical_retention"	"empirical_retention_as"	"retention_as_."	"as_._∅"	"DT"	"JJ"	"NN"	"NN"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"would"	"propose"	"next"	"as"	"the"	"prime"	"requirement"	"for"	"constitution"	"of"	"new"	"list"	"item"	"whose"	"form"	"show"	"as"	"high"	"an"	"empirical"	"retention"	"rate"	"as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"reaction"	"observe"	"the"	"at"	"the_reaction"	"reaction_observe"	"observe_at"	"∅_the_reaction"	"the_reaction_observe"	"reaction_observe_at"	"observe_at_200"	"ε"	"DT"	"NN"	"NN"	"VB"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"reaction"	"rate"	"observe"	"at"	"range"	"from"	"f"	"of"	"the"	"chlorine"	"exchange"	"per"	"hour"	"to"	"exchange"	"per"	"hour"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"reaction"	"in"	"the"	"different"	"the_reaction"	"reaction_in"	"in_different"	"compare_the_reaction"	"the_reaction_in"	"reaction_in_different"	"in_different_series"	"VB"	"DT"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"although"	"there"	"be"	"some"	"variation"	"in"	"result"	"which"	"must"	"be"	"attribute"	"either"	"to"	"trace"	"impurity"	"or"	"to"	"variation"	"in"	"effect"	"the"	"photochemical_exchange"	"in"	"the"	"gas"	"phase"	"be"	"sufficiently"	"reproducible"	"so"	"that"	"it"	"seem"	"meaningful"	"to"	"compare"	"the"	"reaction"	"rate"	"in"	"different"	"series"	"of"	"reaction"	"tube"	"for"	"the"	"purpose"	"of"	"obtain"	"information"	"on"	"the"	"effect"	"of"	"chlorine"	"concentration"	"and"	"of"	"carbon_tetrachloride"	"concentration"	"on"	"the"	"reaction"	"rate"	
"1:28:00::"	"reaction"	"."	"the"	"∅"	"the_reaction"	"reaction_."	"._∅"	"on_the_reaction"	"the_reaction_."	"reaction_._∅"	"._∅_∅"	"IN"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"be"	"some"	"variation"	"in"	"result"	"which"	"must"	"be"	"attribute"	"either"	"to"	"trace"	"impurity"	"or"	"to"	"variation"	"in"	"wall"	"effect"	"the"	"photochemical_exchange"	"in"	"the"	"gas"	"phase"	"be"	"sufficiently"	"reproducible"	"so"	"that"	"it"	"seem"	"meaningful"	"to"	"compare"	"the"	"reaction"	"rate"	"in"	"different"	"series"	"of"	"reaction"	"tube"	"for"	"the"	"purpose"	"of"	"obtain"	"information"	"on"	"the"	"effect"	"of"	"chlorine"	"concentration"	"and"	"of"	"carbon_tetrachloride"	"concentration"	"on"	"the"	"reaction"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"come_to"	"of"	"it"	"early"	"it_come_to"	"come_to_of"	"of_early"	"when_it_come_to"	"it_come_to_of"	"come_to_of_early"	"of_early_growth"	"WRB"	"PRP"	"VB"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"come_to"	"rate"	"of"	"early"	"growth"	"the"	"indian_python"	"lead"	"with"	"a"	"figure"	"of"	"about"	"foot"	"inch"	"per_year"	"for"	"the"	"first"	"two"	"year"	"more_or_less"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"in"	";"	"variation"	"unfortunately"	"variation_in"	"in_;"	";_unfortunately"	"considerable_variation_in"	"variation_in_;"	"in_;_unfortunately"	";_unfortunately_,"	"JJ"	"NN"	"IN"	"NN"	"ε"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"data"	"there"	"be"	"growth"	"indicate"	"considerable"	"variation"	"in"	"rate"	"unfortunately"	"no_one"	"has"	"keep"	"complete"	"record"	"of"	"one"	"individual"	"whereas"	"many"	"have"	"been"	"make"	"for"	"a"	"very"	"short"	"period_of_time"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"transfer"	"at"	"heat"	"the"	"heat_transfer"	"transfer_at"	"at_the"	"high_heat_transfer"	"heat_transfer_at"	"transfer_at_the"	"at_the_anode"	"JJ"	"NN"	"NN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"heat"	"transfer"	"rate"	"at"	"the"	"anode"	"compare"	"with"	"those"	"at"	"the"	"cathode"	"can"	"be"	"explain"	"by"	"the"	"physical_phenomenon"	"occur"	"in"	"free_burning"	"arc"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"a"	"of"	"at"	"*"	"at_a"	"a_of"	"of_*"	"pulley_at_a"	"at_a_of"	"a_of_*"	"of_*_*"	"NN"	"IN"	"DT"	"NN"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"this"	"test"	"a"	"f"	"tape"	"was"	"pull"	"between"	"block"	"with"	"a"	"motor"	"and"	"pulley"	"at"	"a"	"rate"	"of"	"f"	"with"	"a"	"clearance"	"of"	"on"	"each"	"side"	"of"	"the"	"tape"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"low"	"of"	"to"	"shear"	"to_low"	"low_of"	"of_shear"	"subject_to_low"	"to_low_of"	"low_of_shear"	"of_shear_."	"VB"	"VB"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"these"	"be"	"reasonable"	"assumption"	"with"	"low"	"viscosity"	"fluid"	"in"	"high"	"viscosity"	"fluid"	"which"	"are"	"subject"	"to"	"low"	"rate"	"of"	"shear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"impact"	"on"	"the"	"1958"	"the_impact"	"impact_on"	"on_1958"	"∅_the_impact"	"the_impact_on"	"impact_on_1958"	"on_1958_alpha"	"ε"	"DT"	"NN"	"NN"	"IN"	"CD"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"impact"	"rate"	"on"	"alpha"	"for"	"event"	"be"	"f"	"for"	"particle"	"of"	"mass"	"great"	"than"	"f"	"person"	"this"	"mass"	"threshold"	"was"	"derive"	"from"	"the"	"detector"	"calibration"	"and"	"an"	"assumed"	"impact"	"velocity"	"of"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"impact"	"of"	"average"	"*"	"average_impact"	"impact_of"	"of_*"	"an_average_impact"	"average_impact_of"	"impact_of_*"	"of_*_*"	"DT"	"JJ"	"NN"	"NN"	"IN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"preliminary"	"data"	"from"	"an"	"average"	"impact"	"rate"	"of"	"f"	"for"	"mass"	"larger"	"than"	"f"	"for"	"about"	"event"	"in"	"a"	"day"	"period"	"person"	"and"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"transfer"	"."	"oxygen"	"∅"	"oxygen_transfer"	"transfer_."	"._∅"	"the_oxygen_transfer"	"oxygen_transfer_."	"transfer_._∅"	"._∅_∅"	"DT"	"NN"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"series"	"of"	"eight"	"special"	"test"	"were"	"conduct"	"different"	"rotor"	"speed"	"to"	"determine"	"the"	"oxygen"	"transfer"	"rate"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"not"	"at"	"of"	"at_the"	"the_not"	"not_of"	"run_at_the"	"at_the_not"	"the_not_of"	"not_of_700"	"VB"	"IN"	"DT"	"NN"	"RB"	"IN"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"m.p."	"write"	"in"	"the_manchester_guardian"	"state"	"that"	"departure"	"location"	"are"	"now"	"run"	"at"	"the"	"rate"	"not"	"of"	"but"	"of"	"a"	"week"	"and"	"application"	"to"	"leave"	"have"	"rise"	"to"	"a"	"week"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
