"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"
"3:00:01::"	"in"	"agreement"	"be"	"with"	"be_in"	"in_agreement"	"agreement_with"	"and_be_in"	"be_in_agreement"	"in_agreement_with"	"agreement_with_the"	"CC"	"VB"	"IN"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"x-ray_diffraction"	"pattern"	"of"	"the"	"material"	"take"	"with"	"cukla"	"radiation"	"the"	"presence"	"of"	"no"	"extra"	"line"	"and"	"be"	"in"	"good"	"agreement"	"with"	"the"	"pattern"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"some"	"infield"	"and"	"play"	"and_some"	"some_infield"	"infield_play"	"base_on_balls_and_some"	"and_some_infield"	"some_infield_play"	"infield_play_."	"NN"	"CC"	"JJ"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"despite"	"the"	"degree"	"weather"	"the"	"game"	"was"	"click_off"	"in"	"thanks"	"only"	"three"	"base_on_balls"	"and"	"some"	"good"	"infield"	"play"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"some"	"stop"	"with"	"and"	"with_some"	"some_stop"	"stop_and"	"come_up_with_some"	"with_some_stop"	"some_stop_and"	"stop_and_show"	"VB"	"VB"	"JJ"	"JJ"	"NN"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"make"	"a"	"spectacular"	"play"	"on"	"person"	"grounder"	"in"	"hole"	"in"	"the"	"fourth"	"and"	"person"	"come_up"	"with"	"some"	"good"	"stop"	"and"	"show"	"a"	"strong"	"arm"	"at"	"third_base"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"those"	"day"	"of"	"."	"of_those"	"those_day"	"day_."	"one_of_those"	"of_those_day"	"those_day_."	"day_._∅"	"NN"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"modest"	"and"	"happy"	"person"	"wave_off"	"new"	"laurels"	"as"	"one"	"of"	"those"	"good"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"than"	","	"harm"	"especially"	"harm_than"	"than_,"	",_especially"	"more_harm_than"	"harm_than_,"	"than_,_especially"	",_especially_at"	"JJ"	"NN"	"IN"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"an"	"irritable"	"rule"	"does"	"baseball"	"more"	"harm"	"than"	"good"	"especially"	"at"	"the"	"minor_league"	"level"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"so"	"''"	"pay"	"."	"pay_so"	"so_''"	"''_."	"get_pay_so"	"pay_so_''"	"so_''_."	"''_._∅"	"VBP"	"VB"	"RB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"not"	"for"	"make"	"pretty"	"speech"	"about"	"those"	"actress"	"get"	"pay"	"so"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"freeze"	"."	"'s"	"∅"	"'s_freeze"	"freeze_."	"._∅"	"kid_'s_freeze"	"'s_freeze_."	"freeze_._∅"	"._∅_∅"	"NN"	"POS"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"kid"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"freeze"	"."	"'s"	"∅"	"'s_freeze"	"freeze_."	"._∅"	"he_'s_freeze"	"'s_freeze_."	"freeze_._∅"	"._∅_∅"	"PRP"	"VBZ"	"VB"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not"	"where"	"freeze"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:01::"	"up"	"."	"me"	"∅"	"me_up"	"up_."	"._∅"	"louse_up_me_up"	"me_up_."	"up_._∅"	"._∅_∅"	"VB"	"PRP"	"IN"	"RB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"going_to"	"louse_up"	"up"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"be"	","	"blueberry_pie"	"person"	"blueberry_pie_be"	"be_,"	",_person"	"the_blueberry_pie_be"	"blueberry_pie_be_,"	"be_,_person"	",_person_."	"DT"	"NN"	"VB"	"JJ"	"ε"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"be"	"good"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"own"	"."	"his"	"∅"	"his_own"	"own_."	"._∅"	"for_his_own"	"his_own_."	"own_._∅"	"._∅_∅"	"IN"	"PRP$"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"we"	"have_to"	"protect"	"the"	"for"	"his"	"own"	"good"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"feel"	"physically"	"i"	"''"	"i_feel"	"feel_physically"	"physically_''"	"``_i_feel"	"i_feel_physically"	"feel_physically_''"	"physically_''_,"	"ε"	"PRP"	"VB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"good"	"physically"	"person"	"add"	"but"	"i"	"think"	"i"	"move"	"better"	"carry"	"a_little"	"less"	"weight"	"than"	"i'm"	"carry"	"now"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"the"	"person"	"tell"	"of"	"tell_the"	"the_person"	"person_of"	"to_tell_the"	"tell_the_person"	"the_person_of"	"person_of_her"	"TO"	"VB"	"DT"	"JJ"	"NNP"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"close"	"his"	"eye"	"and"	"see"	"once_again"	"the"	"little"	"niche"	"in"	"mother"	"bedroom"	"where"	"she"	"had"	"kneel"	"to"	"tell"	"the"	"good"	"person"	"of"	"her"	"need"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:reputable:00"	"the"	"professor"	"because"	"teach"	"because_the"	"the_professor"	"professor_teach"	"'s_because_the"	"because_the_professor"	"the_professor_teach"	"professor_teach_only"	"VBZ"	"IN"	"DT"	"JJ"	"NN"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"that"	"the"	"good"	"professor"	"teach"	"only"	"person"	"method"	"at"	"his"	"famous"	"group"	"which"	"be"	"located"	"at"	"location"	"in"	"montreal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"now"	"definition"	"∅"	"be"	"∅_now"	"now_definition"	"definition_be"	"∅_∅_now"	"∅_now_definition"	"now_definition_be"	"definition_be_one"	"ε"	"ε"	"RB"	"JJ"	"NN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"definition"	"be"	"one"	"thing"	"that"	"all_of"	"us"	"can"	"acquire"	"with"	"occasional"	"high-set"	"high-rep"	"light"	"weight"	"workout"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"his"	"father"	"to"	"'s"	"to_his"	"his_father"	"father_'s"	",_to_his"	"to_his_father"	"his_father_'s"	"father_'s_sorrow"	"ε"	"TO"	"PRP$"	"JJ"	"NN"	"POS"	"NN"	"write"	"person"	"of"	"her"	"grief"	"at"	"the"	"death"	"of"	"person"	"baby"	"and"	"at"	"person"	"decision"	"to"	"go_with"	"the"	"south"	"and"	"dear"	"person"	"she"	"write"	"poor"	"person"	"son"	"person"	"is"	"now"	"organize"	"militia"	"company"	"to"	"go"	"south"	"to"	"his"	"good"	"sorrow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"feeling"	"∅"	"prevail"	"∅_a"	"a_feeling"	"feeling_prevail"	"∅_∅_a"	"∅_a_feeling"	"a_feeling_prevail"	"feeling_prevail_on"	"ε"	"ε"	"DT"	"JJ"	"NN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"feeling"	"prevail"	"on"	"the"	"group"	"coach"	"staff"	"monday"	"but"	"attention"	"quickly"	"turn"	"from"	"saturday"	"victory"	"to"	"next"	"week"	"problem"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"feeling"	"``"	","	"``_a"	"a_feeling"	"feeling_,"	"as_``_a"	"``_a_feeling"	"a_feeling_,"	"feeling_,_i"	"IN"	"ε"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"assistant"	"coach"	"person"	"victory"	"as"	"a"	"good"	"feeling"	"i"	"think"	"on"	"the"	"part"	"of"	"the"	"coach"	"and"	"the"	"player"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"scrimmage"	"have"	"friday"	"have_a"	"a_scrimmage"	"scrimmage_friday"	"will_have_a"	"have_a_scrimmage"	"a_scrimmage_friday"	"scrimmage_friday_."	"MD"	"VB"	"DT"	"JJ"	"NN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"work"	"hard"	"tuesday"	"wednesday"	"and"	"thursday"	"person"	"say"	"and"	"will"	"have"	"a"	"good"	"scrimmage"	"friday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"without"	"reason"	"not"	"has"	"not_without"	"without_reason"	"reason_has"	"∅_not_without"	"not_without_reason"	"without_reason_has"	"reason_has_the"	"ε"	"RB"	"IN"	"JJ"	"NN"	"VBZ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"without"	"good"	"reason"	"has"	"the"	"anatomical"	"be"	"called"	"jocular"	"journalese"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"a"	"map"	"with"	"and"	"with_a"	"a_map"	"map_and"	"site_with_a"	"with_a_map"	"a_map_and"	"map_and_aerial"	"NN"	"IN"	"DT"	"JJ"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"begin"	"the"	"examination"	"a"	"site"	"with"	"a"	"good"	"map"	"and"	"aerial"	"photo"	"if"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:ample:00"	"a"	"look"	"take_a_look"	"at"	"take_a_look_a"	"a_look"	"look_at"	"she_take_a_look_a"	"take_a_look_a_look"	"a_look_at"	"look_at_herself"	"PRP"	"VB"	"DT"	"JJ"	"VB"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"she"	"a"	"good"	"look"	"at"	"herself"	"in"	"the"	"mirror"	"before"	"she"	"turn"	"and"	"walk"	"with"	"very"	"small"	"step"	"start"	"toward"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:01::"	"'s"	"to"	"it"	"see"	"it_'s"	"'s_to"	"to_see"	"``_it_'s"	"it_'s_to"	"'s_to_see"	"to_see_you"	"ε"	"PRP"	"VBZ"	"JJ"	"TO"	"VB"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"to"	"see"	"you"	"again"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:02::"	"``"	"man"	"∅"	","	"∅_``"	"``_man"	"man_,"	"∅_∅_``"	"∅_``_man"	"``_man_,"	"man_,_person"	"ε"	"ε"	"ε"	"JJ"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"man"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:00::"	"what"	"will"	"``"	"it"	"``_what"	"what_will"	"will_it"	"∅_``_what"	"``_what_will"	"what_will_it"	"will_it_really"	"ε"	"ε"	"WP"	"NN"	"NN"	"PRP"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"good"	"will"	"it"	"really"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
