"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"
"4:02:02::"	"be"	"more"	"overprotection"	"pervasive"	"overprotection_be"	"be_more"	"more_pervasive"	"the_overprotection_be"	"overprotection_be_more"	"be_more_pervasive"	"more_pervasive_."	"DT"	"NN"	"VB"	"RB"	"RB"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"girl"	"overprotection"	"be"	"far"	"more"	"pervasive"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"him"	"from"	"remove"	"the"	"remove_him"	"him_from"	"from_the"	"and_remove_him"	"remove_him_from"	"him_from_the"	"from_the_tree"	"CC"	"VB"	"PRP"	"RB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"wherefore"	"also"	"he"	"god"	"drive_out"	"him"	"man"	"out"	"of"	"and"	"remove"	"him"	"far"	"from"	"the"	"tree"	"of"	"life"	"not"	"because"	"he"	"envy"	"him"	"the"	"tree"	"of"	"life"	"as"	"some"	"venture"	"to"	"assert"	"but"	"because"	"he"	"pity"	"him"	"and"	"did"	"not"	"desire"	"that"	"he"	"should"	"continue"	"a"	"sinner"	"for"	"ever"	"nor"	"that"	"the"	"sin"	"which"	"surround"	"him"	"should"	"be"	"immortal"	"and"	"evil"	"interminable"	"and"	"irremediable"	
"4:02:00::"	"seem"	"away"	"world"	";"	"world_seem"	"seem_away"	"away_;"	"the_world_seem"	"world_seem_away"	"seem_away_;"	"away_;_he"	"DT"	"NN"	"VB"	"RB"	"RB"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"feel"	"curiously"	"the"	"world"	"seem"	"far"	"away"	"he"	"know"	"he"	"should"	"get"	"to"	"person"	"but"	"he"	"did"	"n't"	"know"	"how"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:long:01"	"how"	"could"	"∅"	"it"	"∅_how"	"how_could"	"could_it"	"∅_∅_how"	"∅_how_could"	"how_could_it"	"could_it_be"	"ε"	"ε"	"WRB"	"JJ"	"MD"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"far"	"could"	"it"	"be"	"person"	"think"	"bleakly"	"how"	"far"	"can"	"a"	"blind_man"	"crawl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:long:01"	"how"	"can"	","	"a"	",_how"	"how_can"	"can_a"	"bleakly_,_how"	",_how_can"	"how_can_a"	"can_a_blind_man"	"RB"	"ε"	"WRB"	"JJ"	"MD"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"far"	"could"	"it"	"be"	"think"	"bleakly"	"how"	"far"	"can"	"a"	"blind_man"	"crawl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:long:01"	"not"	"."	"-"	"∅"	"-_not"	"not_."	"._∅"	"∅_-_not"	"-_not_."	"not_._∅"	"._∅_∅"	"ε"	"ε"	"RB"	"JJ"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"far"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"and"	"removed"	"river"	"from"	"river_and"	"and_removed"	"removed_from"	"the_river_and"	"river_and_removed"	"and_removed_from"	"removed_from_the"	"DT"	"NN"	"CC"	"RB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"look"	"about"	"a_bit"	"person"	"discover"	"location"	"across"	"the"	"river"	"and"	"far"	"removed"	"from"	"the"	"white"	"city"	"a"	"considerable"	"tract"	"of"	"land"	"and"	"it"	"occur"	"to"	"him"	"that"	"the"	"church"	"and"	"the"	"better"	"person"	"home"	"might"	"gradually"	"be"	"move"	"to"	"this"	"plot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"too"	"over"	"lean"	"."	"lean_too"	"too_over"	"over_."	"was_lean_too"	"lean_too_over"	"too_over_."	"over_._∅"	"VBD"	"VB"	"RB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"lean"	"too"	"far"	"over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"jury"	"say"	"the"	"in"	"the_jury"	"jury_say"	"say_in"	"∅_the_jury"	"the_jury_say"	"jury_say_in"	"say_in_term"	"ε"	"DT"	"NN"	"RB"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"jury"	"far"	"say"	"in"	"term"	"end"	"presentment"	"that"	"the"	"group"	"which"	"have"	"overall"	"charge"	"of"	"the"	"election"	"deserve"	"the"	"praise"	"and"	"thanks"	"of"	"the"	"location"	"for"	"the"	"manner"	"in"	"which"	"the"	"election"	"was"	"conduct"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"a"	"more"	"be"	"sophisticated"	"be_a"	"a_more"	"more_sophisticated"	",_be_a"	"be_a_more"	"a_more_sophisticated"	"more_sophisticated_operator"	"ε"	"VB"	"DT"	"RB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"medical"	"device"	"pirate"	"of"	"of_course"	"be"	"a"	"far"	"more"	"sophisticated"	"operator"	"than"	"his"	"predecessor"	"of"	"yesteryear"	"the"	"gallus"	"snap"	"hawker"	"of"	"snake_oil"	"and"	"patent_medicine"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"cause"	"more"	"can"	"than"	"can_cause"	"cause_more"	"more_than"	"quack_can_cause"	"can_cause_more"	"cause_more_than"	"more_than_just"	"NN"	"MD"	"VB"	"RB"	"NN"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"the"	"quack"	"can"	"cause"	"far"	"more"	"than"	"just"	"suffering"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:02::"	"∅"	"from"	"∅"	"discourage"	"∅_∅"	"∅_from"	"from_discourage"	"∅_∅_∅"	"∅_∅_from"	"∅_from_discourage"	"from_discourage_person"	"ε"	"ε"	"ε"	"RB"	"IN"	"VB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"from"	"discourage"	"person"	"his"	"parent"	"urge"	"him"	"on"	"to"	"great"	"and"	"great"	"accomplishment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"barely"	"enough"	"go"	"."	"go_barely"	"barely_enough"	"enough_."	"have_go_barely"	"go_barely_enough"	"barely_enough_."	"enough_._∅"	"VBP"	"VB"	"RB"	"RB"	"RB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"was"	"bother"	"during"	"the"	"first"	"two"	"game"	"this"	"year"	"a"	"pull"	"muscle"	"in"	"the"	"thigh"	"of"	"his"	"right"	"kick"	"leg"	"and"	"as"	"result"	"several"	"of"	"his"	"successful"	"conversion"	"have"	"go"	"barely"	"far"	"enough"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"4:02:00::"	"comment"	"on"	"we"	"these"	"we_comment"	"comment_on"	"on_these"	"before_we_comment"	"we_comment_on"	"comment_on_these"	"on_these_pathological"	"IN"	"PRP"	"VB"	"RB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"comment"	"far"	"on"	"these"	"pathological"	"condition"	"we"	"should"	"remember"	"that"	"change"	"in"	"the"	"state"	"of"	"the"	"hypothalamus"	"within"	"physiological"	"limit"	"distinguish"	"sleep"	"from"	"wakefulness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
