"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"
"2:35:05::"	"which"	"a"	","	"premium"	",_which"	"which_a"	"a_premium"	"proposal_,_which"	",_which_a"	"which_a_premium"	"a_premium_on"	"NN"	"ε"	"WDT"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"effect"	"of"	"proposal"	"which"	"put"	"a"	"premium"	"on"	"population"	"instead"	"of"	"economic"	"strength"	"as"	"in_the_past"	"would"	"be"	"to"	"take"	"jobs"	"from"	"european_nations"	"and"	"give"	"more"	"to"	"such"	"countries"	"as"	"india"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"∅"	"them"	"∅"	"all_together"	"∅_∅"	"∅_them"	"them_all_together"	"∅_∅_∅"	"∅_∅_them"	"∅_them_all_together"	"them_all_together_and"	"ε"	"ε"	"ε"	"VB"	"PRP"	"RB"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"them"	"all_together"	"and"	"they"	"spell"	"the"	"only"	"four-letter"	"word"	"i"	"can"	"think_of"	"dull"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"you"	"the"	"do"	"lighter"	"do_you"	"you_the"	"the_lighter"	"where_do_you"	"do_you_the"	"you_the_lighter"	"the_lighter_fluid"	"WRB"	"VBP"	"PRP"	"VB"	"DT"	"JJR"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where"	"you"	"put"	"the"	"lighter"	"fluid"	"ha"	"ha"	"ask"	"the"	"gas_station"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"charter"	"it"	"the"	","	"the_charter"	"charter_it"	"it_,"	"as_the_charter"	"the_charter_it"	"charter_it_,"	"it_,_``"	"IN"	"DT"	"NNP"	"VB"	"PRP"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"integrity"	"of"	"the"	"office"	"not"	"merely"	"require"	"the"	"secretary_general"	"shall"	"be"	"as"	"the"	"charter"	"put"	"it"	"the"	"chief"	"administrative"	"officer"	"of"	"the"	"organization"	"but"	"that"	"neither"	"he"	"nor"	"his"	"staff"	"shall"	"seek"	"or"	"receive"	"instructions"	"from"	"any"	"government"	"or"	"any"	"authority"	"external"	"to"	"the"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"will"	"to"	"battle"	"a"	"battle_will"	"will_to"	"to_a"	"redistricting_battle_will"	"battle_will_to"	"will_to_a"	"to_a_test"	"NN"	"NN"	"MD"	"VB"	"TO"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"eyes"	"focus_on"	"the"	"third"	"congressional_district"	"the"	"historic"	"delta"	"district"	"and"	"congressman_frank_e._smith"	"the"	"one"	"most"	"likely"	"to"	"go"	"the"	"redistricting"	"battle"	"will"	"put"	"to"	"a"	"test"	"the"	"longstanding"	"power"	"which"	"lawmakers"	"from"	"the"	"delta"	"have"	"hold"	"in"	"the"	"legislature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"i"	"my"	","	"bible"	",_i"	"i_my"	"my_bible"	"so_,_i"	",_i_my"	"i_my_bible"	"my_bible_to"	"RB"	"ε"	"PRP"	"VB"	"PRP$"	"NNP"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so"	"put"	"my"	"bible"	"to"	"the"	"practical"	"test"	"of"	"note"	"what"	"it"	"say"	"about"	"itself"	"and_then"	"test"	"it"	"to"	"see"	"how"	"it"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"be"	"a"	"∅"	"rocket"	"∅_be"	"be_a"	"a_rocket"	"∅_∅_be"	"∅_be_a"	"be_a_rocket"	"a_rocket_in"	"ε"	"ε"	"VB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put"	"a"	"rocket"	"in"	"orbit"	"half"	"so"	"significant"	"as"	"the"	"good"	"news"	"that"	"god"	"put"	"his"	"son"	"jesus_christ"	"on"	"earth"	"to"	"live"	"and"	"die"	"to"	"save"	"our"	"hell-bound"	"souls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"god"	"his"	"that"	"son"	"that_god"	"god_his"	"his_son"	"news_that_god"	"that_god_his"	"god_his_son"	"his_son_,"	"NN"	"IN"	"NNP"	"VB"	"PRP$"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"put"	"a"	"rocket"	"in"	"orbit"	"half"	"significant"	"as"	"the"	"good"	"news"	"that"	"god"	"put"	"his"	"son"	"jesus_christ"	"on"	"earth"	"to"	"live"	"and"	"die"	"to"	"save"	"our"	"hell-bound"	"souls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"that"	"the"	"new_york"	"spotlight"	"new_york_that"	"that_the"	"the_spotlight"	"in_new_york_that"	"new_york_that_the"	"that_the_spotlight"	"the_spotlight_on"	"IN"	"NN"	"WDT"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"be"	"the"	"trial"	"of"	"oleomargarine"	"heir"	"minot"	"jelke"	"for"	"compulsory"	"prostitution"	"in"	"new_york"	"that"	"put"	"the"	"spotlight"	"on"	"the"	"international"	"play-girl"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"to"	"the"	"try"	"pieces"	"try_to"	"to_the"	"the_pieces"	",_try_to"	"try_to_the"	"to_the_pieces"	"the_pieces_in_order"	"ε"	"VB"	"TO"	"VB"	"DT"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"the"	"bus"	"turn"	"into"	"the"	"main"	"highway"	"and"	"head"	"toward"	"hanover"	"i"	"settle"	"back"	"in"	"seat"	"and"	"close"	"my"	"eyes"	"think_over"	"the"	"events"	"of"	"the"	"past"	"two_weeks"	"try"	"to"	"put"	"the"	"pieces"	"in_order"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"∅"	"aircraft"	"∅"	"in"	"∅_∅"	"∅_aircraft"	"aircraft_in"	"∅_∅_∅"	"∅_∅_aircraft"	"∅_aircraft_in"	"aircraft_in_``"	"ε"	"ε"	"ε"	"VB"	"NN"	"IN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"aircraft"	"in"	"bomb-proof"	"hangars"	"when"	"they"	"be"	"on_the_ground"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"thunder"	"this"	"the"	"man"	"the_thunder"	"thunder_this"	"this_man"	"rule_the_thunder"	"the_thunder_this"	"thunder_this_man"	"this_man_and"	"VB"	"DT"	"NN"	"VB"	"DT"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"let"	"none"	"but"	"who"	"rule"	"the"	"thunder"	"put"	"this"	"man"	"and"	"woman"	"asunder"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"its"	"strive"	"full"	"strive_to"	"to_its"	"its_full"	"and_then_strive_to"	"strive_to_its"	"to_its_full"	"its_full_weight"	"RB"	"VB"	"TO"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_all_probability"	"the"	"council"	"will"	"screen"	"and"	"endorse"	"candidates"	"for"	"assembly"	"and"	"for"	"congress"	"and_then"	"strive"	"to"	"put"	"its"	"full"	"weight"	"behind"	"these"	"pre-primary"	"favorites"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"20"	"an"	"barely"	"end"	"barely_20"	"20_an"	"an_end"	"be_barely_20"	"barely_20_an"	"20_an_end"	"an_end_to"	"VB"	"RB"	"CD"	"VB"	"VB"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"heart_attack"	"when"	"be"	"barely"	"put"	"an"	"end"	"to"	"the"	"hour"	"daily"	"practicing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"them"	"a"	"let"	"bed"	"let_them"	"them_a"	"a_bed"	"to_let_them"	"let_them_a"	"them_a_bed"	"a_bed_in"	"TO"	"VB"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"beg"	"to"	"let"	"them"	"put"	"a"	"bed"	"in"	"the"	"kitchen"	"for"	"her"	"but"	"grandma"	"say"	"she"	"was"	"get"	"too"	"old"	"to"	"sleep"	"in"	"strange"	"beds"	"and"	"be"	"see"	"with"	"her"	"teeth"	"out"	"and"	"that"	"she"	"hope"	"to"	"die"	"in"	"privacy"	"like"	"a"	"christian"	"and"	"if"	"the"	"lord"	"will"	"it"	"to"	"be"	"of"	"than"	"it"	"would"	"have"	"to"	"be"	"that"	"way"	"0"	"0"	"0"	
"2:35:05::"	"they"	"so_much"	"why"	"stress"	"why_they"	"they_so_much"	"so_much_stress"	"and_why_they"	"why_they_so_much"	"they_so_much_stress"	"so_much_stress_on"	"CC"	"WRB"	"PRP"	"VB"	"RB"	"NN"	"IN"	"emphasis"	"on"	"the"	"in"	"the"	"lo_shu"	"square"	"for"	"purely"	"mathematical"	"reasons"	"and"	"the"	"fact"	"that"	"this"	"number"	"so"	"neatly"	"symbolize"	"the"	"heart"	"and"	"center"	"of"	"the"	"universe"	"could"	"well"	"explain"	"why"	"the"	"old"	"chinese"	"seem"	"to"	"have"	"so"	"revere"	"the"	"number"	"and"	"why"	"they"	"put"	"stress"	"on"	"the"	"concept"	"of"	"centrality"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"it"	"north"	"as"	"at"	"as_it"	"it_north"	"north_at"	",_as_it"	"as_it_north"	"it_north_at"	"north_at_the"	"ε"	"IN"	"PRP"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"note"	"that"	"by"	"western"	"standards"	"this"	"be"	"upside_down"	"as"	"it"	"put"	"north"	"at"	"the"	"bottom"	"and"	"south"	"at"	"the"	"top"	"with"	"the"	"directions"	"correspondingly"	"alter"	"but"	"in_this"	"respect"	"it"	"was"	"merely"	"follow"	"the"	"accepted"	"chinese"	"convention"	"for"	"all"	"maps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"i"	"arger"	"``"	"on"	"``_i"	"i_arger"	"arger_on"	"∅_``_i"	"``_i_arger"	"i_arger_on"	"arger_on_the"	"ε"	"ε"	"PRP"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"put"	"arger"	"on"	"the"	"payroll"	"because"	"he"	"promise"	"to"	"get"	"my"	"firm"	"the"	"stevedore"	"account"	"at"	"navy"	"pier"	"stein"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"to"	"a"	"detroit"	"post"	"detroit_to"	"to_a"	"a_post"	"from_detroit_to"	"detroit_to_a"	"to_a_post"	"a_post_mile"	"IN"	"NN"	"TO"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"activity"	"by"	"british"	"trader"	"and"	"the"	"presence"	"of"	"a"	"colony"	"on"	"the"	"prompt"	"the"	"united_states"	"war_department"	"in"	"to"	"send"	"person"	"from"	"detroit"	"to"	"put"	"a"	"post"	"mile"	"northwest"	"of"	"location"	"until"	"then"	"the"	"most"	"advanced"	"united_states"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"piece"	"it"	"that"	","	"that_piece"	"piece_it"	"it_,"	"as_that_piece"	"that_piece_it"	"piece_it_,"	"it_,_grow"	"IN"	"IN"	"NN"	"VB"	"PRP"	"ε"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"during"	"the"	"decade"	"that"	"follow"	"common_man"	"as"	"that"	"piece"	"put"	"it"	"grow"	"uncomfortable"	"as"	"the"	"voice"	"of"	"god"	"and"	"flee"	"from"	"behind"	"person"	"only"	"to"	"learn"	"from"	"science"	"to"	"his"	"shocked"	"relief"	"that"	"after_all"	"there"	"be"	"no"	"god"	"he"	"had"	"to"	"speak_for"	"and"	"that"	"he"	"be"	"just"	"an"	"animal"	"anyhow"	"that"	"there"	"was"	"a"	"chemical_formula"	"for"	"him"	"and"	"that"	"too"	"much"	"could"	"n't"	"be"	"expect"	"of"	"him"	
"2:35:00::"	"be"	"on"	"can"	"a"	"can_be"	"be_on"	"on_a"	"-_can_be"	"can_be_on"	"be_on_a"	"on_a_direct"	"ε"	"MD"	"VB"	"VB"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"check"	"to"	"see"	"if"	"some"	"of"	"your"	"such_as"	"on_the_job"	"disability"	"pay"	"can"	"be"	"put"	"on"	"a"	"direct"	"payment"	"rather"	"than"	"an"	"insured"	"basis"	"at"	"a"	"saving"	"to"	"you"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"to"	"them"	"try"	"into"	"try_to"	"to_them"	"them_into"	"by_try_to"	"try_to_them"	"to_them_into"	"them_into_proper"	"IN"	"VB"	"TO"	"VB"	"PRP"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"recent"	"political_campaign"	"two"	"charge"	"were"	"level"	"affect"	"the"	"question"	"power"	"and"	"i"	"think"	"we"	"might"	"begin"	"by"	"try"	"to"	"put"	"them"	"into"	"proper"	"focus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:05::"	"adjusted_gross_income"	"all"	"determine"	"taxpayer"	"determine_adjusted_gross_income"	"adjusted_gross_income_all"	"all_taxpayer"	"in_determine_adjusted_gross_income"	"determine_adjusted_gross_income_all"	"adjusted_gross_income_all_taxpayer"	"all_taxpayer_on"	"VB"	"VB"	"NN"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"deduction"	"in"	"determine"	"adjusted_gross_income"	"put"	"all"	"taxpayer"	"on"	"a"	"comparable"	"basis"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
